API,Permission,Permission_DisplayName,Permission_ID,Permission_Description,Permission_Type
Microsoft Graph,AccessReview.Read.All,Read all access reviews,d07a8cc0-3d51-4b77-b3b0-32704d1f69fa,"Allows the app to read access reviews, reviewers, decisions and settings in the organization, without a signed-in user.",application
Microsoft Graph,AccessReview.ReadWrite.All,Manage all access reviews,ef5f7d5c-338f-44b0-86c3-351f46c8bb5f,"Allows the app to read, update, delete and perform actions on access reviews, reviewers, decisions and settings in the organization, without a signed-in user.",application
Microsoft Graph,AccessReview.ReadWrite.Membership,Manage access reviews for group and app memberships,18228521-a591-40f1-b215-5fad4488c117,"Allows the app to read, update, delete and perform actions on access reviews, reviewers, decisions and settings in the organization for group and app memberships, without a signed-in user.",application
Microsoft Graph,Acronym.Read.All,Read all acronyms,8c0aed2c-0c61-433d-b63c-6370ddc73248,Allows an app to read all acronyms without a signed-in user.,application
Microsoft Graph,AdministrativeUnit.Read.All,Read all administrative units,134fd756-38ce-4afd-ba33-e9623dbe66c2,Allows the app to read administrative units and administrative unit membership without a signed-in user.,application
Microsoft Graph,AdministrativeUnit.ReadWrite.All,Read and write all administrative units,5eb59dd3-1da2-4329-8733-9dabdc435916,"Allows the app to create, read, update, and delete administrative units and manage administrative unit membership without a signed-in user.",application
Microsoft Graph,Agreement.Read.All,Read all terms of use agreements,2f3e6f8c-093b-4c57-a58b-ba5ce494a169,"Allows the app to read terms of use agreements, without a signed in user.",application
Microsoft Graph,Agreement.ReadWrite.All,Read and write all terms of use agreements,c9090d00-6101-42f0-a729-c41074260d47,"Allows the app to read and write terms of use agreements, without a signed in user.",application
Microsoft Graph,AgreementAcceptance.Read.All,Read all terms of use acceptance statuses,d8e4ec18-f6c0-4620-8122-c8b1f2bf400e,"Allows the app to read terms of use acceptance statuses, without a signed in user.",application
Microsoft Graph,APIConnectors.Read.All,Read API connectors for authentication flows,b86848a7-d5b1-41eb-a9b4-54a4e6306e97,"Allows the app to read the API connectors used in user authentication flows, without a signed-in user.",application
Microsoft Graph,APIConnectors.ReadWrite.All,Read and write API connectors for authentication flows,1dfe531a-24a6-4f1b-80f4-7a0dc5a0a171,"Allows the app to read, create and manage the API connectors used in user authentication flows, without a signed-in user.",application
Microsoft Graph,AppCatalog.Read.All,Read all app catalogs,e12dae10-5a57-4817-b79d-dfbec5348930,Allows the app to read apps in the app catalogs without a signed-in user.,application
Microsoft Graph,AppCatalog.ReadWrite.All,Read and write to all app catalogs,dc149144-f292-421e-b185-5953f2e98d7f,"Allows the app to create, read, update, and delete apps in the app catalogs without a signed-in user.",application
Microsoft Graph,Application-RemoteDesktopConfig.ReadWrite.All,Read and write the remote desktop security configuration for all apps,3be0012a-cc4e-426b-895b-f9c836bf6381,"Allows the app to read and write the remote desktop security configuration for all apps in your organization, without a signed-in user.",application
Microsoft Graph,Application.Read.All,Read all applications,9a5d68dd-52b0-4cc2-bd40-abcf44ac3a30,Allows the app to read all applications and service principals without a signed-in user.,application
Microsoft Graph,Application.ReadWrite.All,Read and write all applications,1bfefb4e-e0b5-418b-a88f-73c46d2cc8e9,"Allows the app to create, read, update and delete applications and service principals without a signed-in user.  Does not allow management of consent grants.",application
Microsoft Graph,Application.ReadWrite.OwnedBy,Manage apps that this app creates or owns,18a4783c-866b-4cc7-a460-3d5e5662c884,"Allows the app to create other applications, and fully manage those applications (read, update, update application secrets and delete), without a signed-in user. ??It cannot update any apps that it is not an owner of.",application
Microsoft Graph,AppRoleAssignment.ReadWrite.All,Manage app permission grants and app role assignments,06b708a9-e830-4db3-a914-8e69da51d44f,"Allows the app to manage permission grants for application permissions to any API (including Microsoft Graph) and application assignments for any app, without a signed-in user.",application
Microsoft Graph,AttackSimulation.Read.All,Read attack simulation data of an organization,93283d0a-6322-4fa8-966b-8c121624760d,Allows the app to read attack simulation and training data for an organization without a signed-in user.,application
Microsoft Graph,AttackSimulation.ReadWrite.All,"Read, create, and update all attack simulation data of an organization",e125258e-8c8a-42a8-8f55-ab502afa52f3,"Allows the app to read, create, and update attack simulation and training data for an organization without a signed-in user.",application
Microsoft Graph,AuditLog.Read.All,Read all audit log data,b0afded3-3588-46d8-8b3d-9842eff778da,"Allows the app to read and query your audit log activities, without a signed-in user.",application
Microsoft Graph,AuditLogsQuery-CRM.Read.All,Read audit logs data from Dynamics CRM workload,20e6f8e4-ffac-4cf7-82f7-70ddb7564318,"Allows the app to read and query audit logs from Dynamics CRM workload, without a signed-in user",application
Microsoft Graph,AuditLogsQuery-Endpoint.Read.All,Read audit logs data from Endpoint Data Loss Prevention workload,0bc85aed-7b0b-437a-bac8-3b29a1b84c99,"Allows the app to read and query audit logs from Endpoint Data Loss Prevention workload, without a signed-in user",application
Microsoft Graph,AuditLogsQuery-Entra.Read.All,Read audit logs data from Entra (Azure AD) workload,7276d950-48fc-4269-8348-f22f2bb296d0,"Allows the app to read and query audit logs from Entra (Azure AD) workload, without a signed-in user",application
Microsoft Graph,AuditLogsQuery-Exchange.Read.All,Read audit logs data from Exchange workload,6b0d2622-d34e-4470-935b-b96550e5ca8d,"Allows the app to read and query audit logs from Exchange workload, without a signed-in user",application
Microsoft Graph,AuditLogsQuery-OneDrive.Read.All,Read audit logs data from OneDrive workload,8a169a81-841c-45fd-ad43-96aede8801a0,"Allows the app to read and query audit logs from OneDrive workload, without a signed-in user",application
Microsoft Graph,AuditLogsQuery-SharePoint.Read.All,Read audit logs data from SharePoint workload,91c64a47-a524-4fce-9bf3-3d569a344ecf,"Allows the app to read and query audit logs from SharePoint workload, without a signed-in user",application
Microsoft Graph,AuditLogsQuery.Read.All,Read audit logs data from all services,5e1e9171-754d-478c-812c-f1755a9a4c2d,Allows the app to read and query audit logs from all services.,application
Microsoft Graph,AuthenticationContext.Read.All,Read all authentication context information,381f742f-e1f8-4309-b4ab-e3d91ae4c5c1,Allows the app to read the authentication context information in your organization without a signed-in user.,application
Microsoft Graph,AuthenticationContext.ReadWrite.All,Read and write all authentication context information,a88eef72-fed0-4bf7-a2a9-f19df33f8b83,Allows the app to read and update the authentication context information in your organization without a signed-in user.,application
Microsoft Graph,BackupRestore-Configuration.Read.All,Read all backup configuration policies,5fbb5982-3230-4882-93c0-2167523ce0c2,"Allows the app to read all backup configurations, and lists of Microsoft 365 service resources to be backed up, without a signed-in user.",application
Microsoft Graph,BackupRestore-Configuration.ReadWrite.All,Read and edit all backup configuration policies,18133149-5489-40ac-80f0-4b6fa85f6cdc,"Allows the app to read and update the backup configuration, and list of Microsoft 365 service resources to be backed up, without a signed-in user.",application
Microsoft Graph,BackupRestore-Monitor.Read.All,"Read all monitoring, quota and billing information for the tenant",ecae8511-f2d7-4be4-bdbf-91f244d45986,"Allows the app to monitor all backup and restore jobs, view quota usage and billing details, without a signed-in user.",application
Microsoft Graph,BackupRestore-Restore.Read.All,Read all restore sessions,87853aa5-0372-4710-b34b-cef27bb7156e,"Allows the app to read all restore sessions, without a signed-in user.",application
Microsoft Graph,BackupRestore-Restore.ReadWrite.All,Read restore all sessions and start restore sessions from backups,bebd0841-a3d8-4313-a51d-731112c8ee41,"Allows the app to search all backup snapshots for Microsoft 365 resources, and restore Microsoft 365 resources from a backed up snapshot, without a signed-in user.",application
Microsoft Graph,BackupRestore-Search.Read.All,Search for metadata properties in all backup snapshots,f6135c51-c766-4be1-9638-ed90c2ed2443,"Allows the app to search all backup snapshots for Microsoft 365 resources, without a signed-in user.",application
Microsoft Graph,BillingConfiguration.ReadWrite.All,Read and write application billing configuration,9e8be751-7eee-4c09-bcfd-d64f6b087fd8,Allows the app to read and write the billing configuration on all applications without a signed-in user. ,application
Microsoft Graph,Bookings.Read.All,Read all Bookings related resources.,6e98f277-b046-4193-a4f2-6bf6a78cd491,"Allows an app to read Bookings appointments, businesses, customers, services, and staff without a signed-in user.  ",application
Microsoft Graph,BookingsAppointment.ReadWrite.All,Read and write all Bookings related resources.,9769393e-5a9f-4302-9e3d-7e018ecb64a7,"Allows an app to read and write Bookings appointments and customers, and additionally allows reading businesses, services, and staff without a signed-in user. ",application
Microsoft Graph,Bookmark.Read.All,Read all bookmarks,be95e614-8ef3-49eb-8464-1c9503433b86,Allows an app to read all bookmarks without a signed-in user.,application
Microsoft Graph,BrowserSiteLists.Read.All,Read all browser site lists for your organization,c5ee1f21-fc7f-4937-9af0-c91648ff9597,"Allows an app to read all browser site lists configured for your organization, without a signed-in user.",application
Microsoft Graph,BrowserSiteLists.ReadWrite.All,Read and write all browser site lists for your organization,8349ca94-3061-44d5-9bfb-33774ea5e4f9,"Allows an app to read and write all browser site lists configured for your organization, without a signed-in user.",application
Microsoft Graph,BusinessScenarioConfig.Read.OwnedBy,Read all business scenario configurations this app creates or owns,acc0fc4d-2cd6-4194-8700-1768d8423d86,"Allows the app to read the configurations of business scenarios it owns, without a signed-in user.",application
Microsoft Graph,BusinessScenarioConfig.ReadWrite.OwnedBy,Read and write all business scenario configurations this app creates or owns,bbea195a-4c47-4a4f-bff2-cba399e11698,"Allows the app to create new business scenarios and fully manage the configurations of scenarios it owns, without a signed-in user.",application
Microsoft Graph,BusinessScenarioData.Read.OwnedBy,Read data for all business scenarios this app creates or owns,6c0257fd-cffe-415b-8239-2d0d70fdaa9c,"Allows the app to read the data associated with the business scenarios it owns, without a signed-in user.",application
Microsoft Graph,BusinessScenarioData.ReadWrite.OwnedBy,Read and write data for all business scenarios this app creates or owns,f2d21f22-5d80-499e-91cc-0a8a4ce16f54,"Allows the app to fully manage the data associated with the business scenarios it owns, without a signed-in user.",application
Microsoft Graph,Calendars.Read,Read calendars in all mailboxes,798ee544-9d2d-430c-a058-570e29e34338,Allows the app to read events of all calendars without a signed-in user.,application
Microsoft Graph,Calendars.ReadBasic.All,Read basic details of calendars in all mailboxes ,8ba4a692-bc31-4128-9094-475872af8a53,"Allows the app to read events of all calendars, except for properties such as body, attachments, and extensions, without a signed-in user.",application
Microsoft Graph,Calendars.ReadWrite,Read and write calendars in all mailboxes,ef54d2bf-783f-4e0f-bca1-3210c0444d99,"Allows the app to create, read, update, and delete events of all calendars without a signed-in user.",application
Microsoft Graph,CallEvents.Read.All,Read all call events,1abb026f-7572-49f6-9ddd-ad61cbba181e,"Allows the app to read call event information for all users in your organizatio, without a signed-in user.",application
Microsoft Graph,CallRecord-PstnCalls.Read.All,Read PSTN and direct routing call log data,a2611786-80b3-417e-adaa-707d4261a5f0,Allows the app to read all PSTN and direct routing call log data without a signed-in user.,application
Microsoft Graph,CallRecords.Read.All,Read all call records,45bbb07e-7321-4fd7-a8f6-3ff27e6a81c8,Allows the app to read call records for all calls and online meetings without a signed-in user.,application
Microsoft Graph,Calls.AccessMedia.All,Access media streams in a call as an app,a7a681dc-756e-4909-b988-f160edc6655f,"Allows the app to get direct access to media streams in a call, without a signed-in user.",application
Microsoft Graph,Calls.Initiate.All,Initiate outgoing 1 to 1 calls from the app,284383ee-7f6e-4e40-a2a8-e85dcb029101,"Allows the app to place outbound calls to a single user and transfer calls to users in your organization???s directory, without a signed-in user.",application
Microsoft Graph,Calls.InitiateGroupCall.All,Initiate outgoing group calls from the app,4c277553-8a09-487b-8023-29ee378d8324,"Allows the app to place outbound calls to multiple users and add participants to meetings in your organization, without a signed-in user.",application
Microsoft Graph,Calls.JoinGroupCall.All,Join group calls and meetings as an app,f6b49018-60ab-4f81-83bd-22caeabfed2d,"Allows the app to join group calls and scheduled meetings in your organization, without a signed-in user. ??The app will be joined with the privileges of a directory user to meetings in your organization.",application
Microsoft Graph,Calls.JoinGroupCallAsGuest.All,Join group calls and meetings as a guest,fd7ccf6b-3d28-418b-9701-cd10f5cd2fd4,"Allows the app to anonymously join group calls and scheduled meetings in your organization, without a signed-in user. ??The app will be joined as a guest to meetings in your organization.",application
Microsoft Graph,Channel.Create,Create channels,f3a65bd4-b703-46df-8f7e-0174fea562aa,"Create channels in any team, without a signed-in user.",application
Microsoft Graph,Channel.Delete.All,Delete channels,6a118a39-1227-45d4-af0c-ea7b40d210bc,"Delete channels in any team, without a signed-in user.",application
Microsoft Graph,Channel.ReadBasic.All,Read the names and descriptions  of all channels,59a6b24b-4225-4393-8165-ebaec5f55d7a,"Read all channel names and channel descriptions, without a signed-in user.",application
Microsoft Graph,ChannelMember.Read.All,Read the members of all channels,3b55498e-47ec-484f-8136-9013221c06a9,"Read the members of all channels, without a signed-in user.",application
Microsoft Graph,ChannelMember.ReadWrite.All,Add and remove members from all channels,35930dcf-aceb-4bd1-b99a-8ffed403c974,"Add and remove members from all channels, without a signed-in user. Also allows changing a member's role, for example from owner to non-owner.",application
Microsoft Graph,ChannelMessage.Read.All,Read all channel messages,7b2449af-6ccd-4f4d-9f78-e550c193f0d1,Allows the app to read all channel messages in Microsoft Teams,application
Microsoft Graph,ChannelMessage.UpdatePolicyViolation.All,Flag channel messages for violating policy,4d02b0cc-d90b-441f-8d82-4fb55c34d6bb,Allows the app to update Microsoft Teams channel messages by patching a set of Data Loss Prevention (DLP) policy violation properties to handle the output of DLP processing.,application
Microsoft Graph,ChannelSettings.Read.All,"Read the names, descriptions, and settings of all channels",c97b873f-f59f-49aa-8a0e-52b32d762124,"Read all channel names, channel descriptions, and channel settings, without a signed-in user.",application
Microsoft Graph,ChannelSettings.ReadWrite.All,"Read and write the names, descriptions, and settings of all channels",243cded2-bd16-4fd6-a953-ff8177894c3d,"Read and write the names, descriptions, and settings of all channels, without a signed-in user.",application
Microsoft Graph,Chat.Create,Create chats,d9c48af6-9ad9-47ad-82c3-63757137b9af,Allows the app to create chats without a signed-in user.??,application
Microsoft Graph,Chat.ManageDeletion.All,Delete and recover deleted chats,9c7abde0-eacd-4319-bf9e-35994b1a1717,"Allows the app to delete and recover deleted chats, without a signed-in user.",application
Microsoft Graph,Chat.Read.All,Read all chat messages,6b7d71aa-70aa-4810-a8d9-5d9fb2830017,Allows the app to read all 1-to-1 or group chat messages in Microsoft Teams.,application
Microsoft Graph,Chat.Read.WhereInstalled,Read all chat messages for chats where the associated Teams application is installed.,1c1b4c8e-3cc7-4c58-8470-9b92c9d5848b,"Allows the app to read all one-to-one or group chat messages in Microsoft Teams for chats where the associated Teams application is installed, without a signed-in user.",application
Microsoft Graph,Chat.ReadBasic.All,Read names and members of all chat threads,b2e060da-3baf-4687-9611-f4ebc0f0cbde,"Read names and members of all one-to-one and group chats in Microsoft Teams, without a signed-in user.",application
Microsoft Graph,Chat.ReadBasic.WhereInstalled,Read names and members of all chat threads where the associated Teams application is installed.,818ba5bd-5b3e-4fe0-bbe6-aa4686669073,"Allows the app to read names and members of all one-to-one and group chats in Microsoft Teams where the associated Teams application is installed, without a signed-in user.",application
Microsoft Graph,Chat.ReadWrite.All,Read and write all chat messages,294ce7c9-31ba-490a-ad7d-97a7d075e4ed,"Allows an app to read and write all chat messages in Microsoft Teams, without a signed-in user.",application
Microsoft Graph,Chat.ReadWrite.WhereInstalled,Read and write all chat messages for chats where the associated Teams application is installed.,ad73ce80-f3cd-40ce-b325-df12c33df713,"Allows the app to read and write all chat messages in Microsoft Teams for chats where the associated Teams application is installed, without a signed-in user.",application
Microsoft Graph,Chat.UpdatePolicyViolation.All,Flag chat messages for violating policy,7e847308-e030-4183-9899-5235d7270f58,Allows the app to update Microsoft Teams 1-to-1 or group chat messages by patching a set of Data Loss Prevention (DLP) policy violation properties to handle the output of DLP processing.,application
Microsoft Graph,ChatMember.Read.All,Read the members of all chats,a3410be2-8e48-4f32-8454-c29a7465209d,"Read the members of all chats, without a signed-in user.",application
Microsoft Graph,ChatMember.Read.WhereInstalled,Read the members of all chats where the associated Teams application is installed.,93e7c9e4-54c5-4a41-b796-f2a5adaacda7,"Allows the app to read the members of all chats where the associated Teams application is installed, without a signed-in user.",application
Microsoft Graph,ChatMember.ReadWrite.All,Add and remove members from all chats,57257249-34ce-4810-a8a2-a03adf0c5693,"Add and remove members from all chats, without a signed-in user.",application
Microsoft Graph,ChatMember.ReadWrite.WhereInstalled,Add and remove members from all chats where the associated Teams application is installed.,e32c2cd9-0124-4e44-88fc-772cd98afbdb,"Allows the app to add and remove members from all chats where the associated Teams application is installed, without a signed-in user.",application
Microsoft Graph,ChatMessage.Read.All,Read all chat messages,b9bb2381-47a4-46cd-aafb-00cb12f68504,"Allows the app to read all one-to-one and group chats messages in Microsoft Teams, without a signed-in user.",application
Microsoft Graph,CloudApp-Discovery.Read.All,Read all discovered cloud applications data,64a59178-dad3-4673-89db-84fdcd622fec,"Allows the app to read all details of discovered cloud apps in the organization, without a signed-in user.",application
Microsoft Graph,CloudPC.Read.All,Read Cloud PCs,a9e09520-8ed4-4cde-838e-4fdea192c227,"Allows the app to read the properties of Cloud PCs, without a signed-in user.",application
Microsoft Graph,CloudPC.ReadWrite.All,Read and write Cloud PCs,3b4349e1-8cf5-45a3-95b7-69d1751d3e6a,"Allows the app to read and write the properties of Cloud PCs, without a signed-in user.",application
Microsoft Graph,Community.Read.All,Read all Viva Engage communities,407f0cce-3212-441f-9f55-3bc91342cf86,"Allows the app to list Viva Engage communities, and to read their properties without a signed-in user.",application
Microsoft Graph,Community.ReadWrite.All,Read and write all Viva Engage communities,35d59e32-eab5-4553-9345-abb62b4c703c,"Allows the app to create Viva Engage communities, read all community properties, update community properties, and delete communities without a signed-in user.",application
Microsoft Graph,ConsentRequest.Read.All,Read all consent requests,1260ad83-98fb-4785-abbb-d6cc1806fd41,Allows the app to read consent requests and approvals without a signed-in user.,application
Microsoft Graph,ConsentRequest.ReadWrite.All,Read and write all consent requests,9f1b81a7-0223-4428-bfa4-0bcb5535f27d,"Allows the app to read app consent requests and approvals, and deny or approve those requests without a signed-in user.",application
Microsoft Graph,Contacts.Read,Read contacts in all mailboxes,089fe4d0-434a-44c5-8827-41ba8a0b17f5,Allows the app to read all contacts in all mailboxes without a signed-in user.,application
Microsoft Graph,Contacts.ReadWrite,Read and write contacts in all mailboxes,6918b873-d17a-4dc1-b314-35f528134491,"Allows the app to create, read, update, and delete all contacts in all mailboxes without a signed-in user.",application
Microsoft Graph,CrossTenantInformation.ReadBasic.All,Read cross-tenant basic information,cac88765-0581-4025-9725-5ebc13f729ee,Allows the application to obtain basic tenant information about another target tenant within the Azure AD ecosystem without a signed-in user.,application
Microsoft Graph,CrossTenantUserProfileSharing.Read.All,Read all shared cross-tenant user profiles and export their data,8b919d44-6192-4f3d-8a3b-f86f8069ae3c,"Allows the application to list and query any shared user profile information associated with the current tenant without a signed-in user.?? It also permits the application to export external user data (e.g. customer content or system-generated logs), for any user associated with the current tenant without a signed-in user.",application
Microsoft Graph,CrossTenantUserProfileSharing.ReadWrite.All,Read all shared cross-tenant user profiles and export or delete their data,306785c5-c09b-4ba0-a4ee-023f3da165cb,"Allows the application to list and query any shared user profile information associated with the current tenant without a signed-in user.?? It also permits the application to export and remove external user data (e.g. customer content or system-generated logs), for any user associated with the current tenant without a signed-in user.",application
Microsoft Graph,CustomAuthenticationExtension.Read.All,Read all custom authentication extensions,88bb2658-5d9e-454f-aacd-a3933e079526,Allows the app to read your organization's custom authentication extensions without a signed-in user.,application
Microsoft Graph,CustomAuthenticationExtension.ReadWrite.All,Read and write all custom authentication extensions,c2667967-7050-4e7e-b059-4cbbb3811d03,Allows the app to read or write your organization's custom authentication extensions without a signed-in user.,application
Microsoft Graph,CustomAuthenticationExtension.Receive.Payload,Receive custom authentication extension HTTP requests,214e810f-fda8-4fd7-a475-29461495eb00,"Allows custom authentication extensions associated with the app to receive HTTP requests triggered by an authentication event. The request can include information about a user, client and resource service principals, and other information about the authentication.",application
Microsoft Graph,CustomDetection.Read.All,Read all custom detection rules,673a007a-9e0f-4c97-b066-3c0164486909,Allows the app to read custom detection rules without a signed-in user.,application
Microsoft Graph,CustomDetection.ReadWrite.All,Read and write all custom detection rules,e0fd9c8d-a12e-4cc9-9827-20c8c3cd6fb8,Allows the app to read and write custom detection rules without a signed-in user.,application
Microsoft Graph,CustomSecAttributeAssignment.Read.All,Read custom security attribute assignments,3b37c5a4-1226-493d-bec3-5d6c6b866f3f,Allows the app to read custom security attribute assignments for all principals in the tenant without a signed in user.,application
Microsoft Graph,CustomSecAttributeAssignment.ReadWrite.All,Read and write custom security attribute assignments,de89b5e4-5b8f-48eb-8925-29c2b33bd8bd,Allows the app to read and write custom security attribute assignments for all principals in the tenant without a signed in user.,application
Microsoft Graph,CustomSecAttributeAuditLogs.Read.All,Read all custom security attribute audit logs,2a4f026d-e829-4e84-bdbf-d981a2703059,"Allows the app to read all audit logs for events that contain information about custom security attributes, without a signed-in user.",application
Microsoft Graph,CustomSecAttributeDefinition.Read.All,Read custom security attribute definitions,b185aa14-d8d2-42c1-a685-0f5596613624,Allows the app to read custom security attribute definitions for the tenant without a signed in user.,application
Microsoft Graph,CustomSecAttributeDefinition.ReadWrite.All,Read and write custom security attribute definitions,12338004-21f4-4896-bf5e-b75dfaf1016d,Allows the app to read and write custom security attribute definitions for the tenant without a signed in user.,application
Microsoft Graph,CustomTags.Read.All,Read all custom tags data,ab8a5872-7c88-47a6-8141-7becce939190,"Read custom tags data, without a signed-in user",application
Microsoft Graph,CustomTags.ReadWrite.All,Read and write custom tags data,2f503208-e509-4e39-974c-8cc16e5785c9,"Read and write custom tags data, without a signed-in user",application
